Sequencing_ID	new_genotype
PN1_SID37	Zx.0120_P1_P2_P2.1.1.1.1
PN1_SID41	Zx.0530_P1_P2_P1.1.1.1.1
PN1_SID42	Zx.0530_P1_P2_P2.1.1.1.1
PN1_SID43	Zx.0420_P1_P1_P2.1.1.1.1
PN1_SID44	Zx.0420_P1_P2_P1.1.1.1.1
PN1_SID46	Zv.0090_P1_P2_P2.1.1.1.1
PN1_SID47	Zv.0320_P1_P1_P1.1.1.1.1
PN1_SID48	Zv.0320_P1_P2_P1.1.1.1.1
PN1_SID49	Zv.0320_P1_P2_P2.1.1.1.1
PN1_SID50	Zx.0330_P1_P1_P2.1.1.1.1
PN1_SID51	Zx.0180_P1_P1_P1.1.1.1.1
PN1_SID52	Zx.0180_P1_P1_P2.1.1.1.1
PN1_SID53	Zx.0060_P2_P1_P1.1.1.1.1
PN1_SID54	Zx.0060_P2_P1_P2.1.1.1.1
PN1_SID55	Zx.0110_P1_P2_P2.1.1.1.1
PN1_SID56	Zx.0070_P2_P1_P1.1.1.1.1
PN1_SID57	Zx.0070_P2_P1_P2.1.1.1.1
PN1_SID59	Zv.0510_P1_P2_P1.1.1.1.1
PN1_SID63	Zv.0500_P1_P1_P1.1.1.1.1
PN1_SID66	Zv.0450_P1_P1_P2.1.1.1.1
PN1_SID79	Zx.0250_P1_P1_P1.1.1.1.1
PN1_SID80	Zx.0250_P1_P1_P2.1.1.1.1
PN1_SID87	Zx.0290_P1_P1_P1.1.1.1.1
PN1_SID88	Zx.0290_P1_P1_P2.1.1.1.1
PN1_SID92	Zx.0050_P1_P1_P1.1.1.1.1
PN1_SID95	Zv.0380_P1_P2_P1.1.1.1.1
PN10_SID865	Zh.0030_P4_P5_P2.2.1.1
PN10_SID866	Zh.0030_P4_P5_P2.3.1.1
PN10_SID867	Zv.0030_P1_P1_P1.1.1.1
PN10_SID868	Zv.0030_P1_P1_P1.2.1.1
PN10_SID869	Zv.0030_P1_P2_P1.1.1.1
PN10_SID870	Zv.0030_P1_P2_P1.2.1.1
PN10_SID871	Zv.0030_P1_P3_P1.1.1.1
PN10_SID872	Zv.0030_P1_P3_P1.2.1.1
PN10_SID873	Zv.0030_P1_P5_P1.1.1.1
PN10_SID874	Zv.0030_P1_P5_P1.2.1.1
PN10_SID875	Zv.0040_P3_P1_P1.1.1.1
PN10_SID876	Zv.0040_P3_P1_P1.2.1.1
PN10_SID877	Zv.0040_P3_P2_P1.2.1.1
PN10_SID878	Zv.0040_P3_P3_P1.1.1.1
PN10_SID879	Zv.0040_P3_P3_P1.2.1.1
PN10_SID880	Zv.0040_P3_P4_P1.1.1.1
PN10_SID881	Zv.0040_P3_P5_P1.1.1.1
PN10_SID882	Zv.0040_P3_P5_P1.2.1.1
PN10_SID883	Zv.0430_P3_P1_P1.1.1.1
PN10_SID884	Zv.0430_P3_P1_P1.2.1.1
PN10_SID885	Zv.0430_P3_P2_P1.1.1.1
PN10_SID886	Zv.0430_P3_P2_P1.2.1.1
PN10_SID887	Zv.0430_P3_P3_P1.1.1.1
PN10_SID888	Zv.0430_P3_P3_P1.2.1.1
PN10_SID889	Zv.0430_P3_P4_P1.2.1.1
PN10_SID890	Zv.0430_P3_P4_P1.3.1.1
PN10_SID891	Zv.0430_P3_P5_P1.1.1.1
PN10_SID892	Zv.0440_P4_P2_P1.1.1.1
PN10_SID894	Zv.0440_P4_P3_P1.2.1.1
PN10_SID895	Zv.0440_P4_P4_P1.1.1.1
PN10_SID896	Zv.0440_P4_P5_P1.1.1.1
PN10_SID897	Zl.0010_P1_P1_P1.1.1.1
PN10_SID898	Zl.0010_P1_P1_P1.2.1.1
PN10_SID899	Zl.0010_P1_P1_P1.3.1.1
PN10_SID900	Zl.0010_P1_P2_P1.1.1.1
PN10_SID901	Zl.0010_P1_P2_P1.2.1.1
PN10_SID902	Zl.0010_P1_P2_P1.3.1.1
PN10_SID903	Zl.0010_P1_P2_P1.4.1.1
PN10_SID904	Zl.0010_P1_P2_P2.3.1.1
PN10_SID905	Zl.0010_P1_P2_P2.4.1.1
PN10_SID906	Zl.0010_P1_P2_P3.2.1.1
PN10_SID907	Zl.0010_P1_P2_P3.3.1.1
PN10_SID908	Zl.0010_P1_P2_P3.5.1.1
PN10_SID909	Zl.0010_P1_P3_P1.1.1.1
PN10_SID910	Zl.0010_P1_P3_P1.3.1.1
PN10_SID911	Zl.0010_P1_P3_P1.5.1.1
PN10_SID912	Zl.0010_P1_P4_P1.4.1.1
PN10_SID913	Zl.0010_P1_P4_P1.5.1.1
PN10_SID914	Zl.0020_P3_P1_P1.1.1.1
PN10_SID915	Zl.0020_P3_P1_P1.2.1.1
PN10_SID916	Zl.0020_P3_P1_P1.3.1.1
PN10_SID917	Zl.0020_P3_P1_P1.4.1.1
PN10_SID918	Zl.0020_P3_P1_P2.1.1.1
PN10_SID919	Zl.0020_P3_P1_P2.2.1.1
PN10_SID920	Zl.0020_P3_P1_P2.3.1.1
PN10_SID921	Zl.0020_P3_P1_P2.4.1.1
PN10_SID922	Zl.0020_P3_P1_P3.1.1.1
PN10_SID923	Zl.0020_P3_P1_P3.2.1.1
PN10_SID924	Zl.0020_P3_P1_P3.3.1.1
PN10_SID925	Zl.0020_P3_P1_P3.4.1.1
PN10_SID926	Zl.0020_P3_P1_P4.3.1.1
PN10_SID927	Zl.0020_P3_P1_P4.5.1.1
PN10_SID928	Zl.0020_P3_P2_P1.1.1.1
PN10_SID929	Zl.0020_P3_P2_P1.2.1.1
PN10_SID930	Zl.0020_P3_P2_P1.3.1.1
PN10_SID931	Zl.0020_P3_P2_P1.4.1.1
PN10_SID932	Zl.0020_P3_P3_P1.3.1.1
PN10_SID933	Zl.0020_P3_P3_P1.4.1.1
PN10_SID934	Zl.0020_P3_P3_P1.5.1.1
PN10_SID935	Zl.0020_P3_P3_P2.1.1.1
PN10_SID936	Zl.0020_P3_P3_P2.2.1.1
PN10_SID937	Zl.0020_P3_P3_P2.3.1.1
PN10_SID938	Zl.0020_P3_P3_P2.4.1.1
PN10_SID939	Zl.0020_P3_P4_P1.1.1.1
PN10_SID940	Zl.0020_P3_P4_P2.1.1.1
PN10_SID941	Zl.0020_P3_P4_P2.2.1.1
PN10_SID942	Zl.0020_P3_P4_P2.3.1.1
PN10_SID943	Zl.0020_P3_P4_P2.4.1.1
PN10_SID944	Zl.0020_P3_P4_P3.2.1.1
PN10_SID945	Zl.0020_P3_P4_P3.4.1.1
PN10_SID946	Zl.0020_P3_P4_P3.5.1.1
PN10_SID947	Zl.0020_P3_P5_P1.2.1.1
PN10_SID948	Zl.0020_P3_P5_P1.4.1.1
PN10_SID949	Zl.0020_P3_P5_P2.1.1.1
PN10_SID950	Zl.0020_P3_P5_P2.3.1.1
PN10_SID951	Zl.0020_P3_P5_P2.4.1.1
PN10_SID952	Zl.0040_P4_P1_P1.1.1.1
PN10_SID953	Zl.0040_P4_P1_P1.2.1.1
PN10_SID954	Zl.0040_P4_P1_P1.4.1.1
PN10_SID955	Zl.0040_P4_P1_P2.1.1.1
PN10_SID956	Zl.0040_P4_P1_P2.2.1.1
PN10_SID957	Zl.0040_P4_P1_P2.3.1.1
PN10_SID958	Zl.0040_P4_P2_P1.5.1.1
PN10_SID959	Zl.0040_P4_P3_P1.1.1.1
PN10_SID960	Zl.0040_P4_P3_P1.2.1.1
PN11_SID1000	Zv.0050_P1_P5_P1.2.1.1
PN11_SID1001	Zv.0060_P4_P2_P1.1.1.1
PN11_SID1002	Zv.0060_P4_P2_P1.2.1.1
PN11_SID1003	Zv.0060_P4_P3_P1.2.1.1
PN11_SID1004	Zv.0060_P4_P4_P1.2.1.1
PN11_SID1005	Zv.0060_P4_P5_P1.1.1.1
PN11_SID1006	Zv.0060_P4_P5_P1.2.1.1
PN11_SID1007	Zv.0340_P1_P1_P1.1.1.1
PN11_SID1008	Zv.0340_P1_P1_P1.2.1.1
PN11_SID1009	Zv.0340_P1_P2_P1.1.1.1
PN11_SID1010	Zv.0340_P1_P2_P1.2.1.1
PN11_SID1011	Zv.0340_P1_P3_P1.2.1.1
PN11_SID1012	Zv.0340_P1_P4_P1.1.1.1
